region, date, percentage, tested, n_seropos
Delhi, 2020-07-31, 25.2, 4197, 1057
Delhi, 2020-08-31, 22.8, 7883, 1800
Delhi, 2020-09-30, 27.8, 4106, 1140
Delhi, 2020-10-31, 34.3, 2979, 1023
Delhi, 2020-11-30, 43.7, 4144, 1810
Delhi, 2020-12-31, 54.9, 2569, 1411
Delhi, 2021-01-22, 40.5, 37, 15
Delhi, 2021-01-27, 37.7, 53, 20
