"","agg_dat","week","N_sampled","N_positive","prop_B1617_2"
"1",2020-03-09,"2020-W11",3,0,0
"2",2020-03-16,"2020-W12",9,0,0
"3",2020-03-23,"2020-W13",3,0,0
"4",2020-03-30,"2020-W14",19,0,0
"5",2020-04-06,"2020-W15",10,0,0
"6",2020-04-13,"2020-W16",5,0,0
"7",2020-04-27,"2020-W18",20,0,0
"8",2020-05-04,"2020-W19",17,0,0
"9",2020-05-11,"2020-W20",19,0,0
"10",2020-05-18,"2020-W21",98,0,0
"11",2020-05-25,"2020-W22",62,0,0
"12",2020-06-08,"2020-W24",3,0,0
"13",2020-06-15,"2020-W25",29,0,0
"14",2020-06-22,"2020-W26",5,0,0
"15",2020-07-27,"2020-W31",9,0,0
"16",2020-08-03,"2020-W32",22,0,0
"17",2020-08-10,"2020-W33",17,0,0
"18",2020-08-24,"2020-W35",3,0,0
"19",2020-10-05,"2020-W41",3,0,0
"20",2020-10-12,"2020-W42",1,0,0
"21",2020-11-09,"2020-W46",5,0,0
"22",2020-11-16,"2020-W47",9,0,0
"23",2020-11-23,"2020-W48",166,0,0
"24",2020-11-30,"2020-W49",120,0,0
"25",2020-12-07,"2020-W50",101,0,0
"26",2020-12-14,"2020-W51",258,0,0
"27",2020-12-21,"2020-W52",260,0,0
"28",2020-12-28,"2020-W53",9,0,0
"29",2021-01-04,"2021-W01",5,0,0
"30",2021-01-11,"2021-W02",12,0,0
"31",2021-01-18,"2021-W03",9,0,0
"32",2021-01-25,"2021-W04",30,0,0
"33",2021-02-01,"2021-W05",68,0,0
"34",2021-02-08,"2021-W06",46,0,0
"35",2021-02-15,"2021-W07",58,0,0
"36",2021-02-22,"2021-W08",112,0,0
"37",2021-03-01,"2021-W09",83,3,0.036144578313253
"38",2021-03-08,"2021-W10",50,0,0
"39",2021-03-15,"2021-W11",70,5,0.0714285714285714
"40",2021-03-22,"2021-W12",78,9,0.115384615384615
"41",2021-03-29,"2021-W13",110,46,0.418181818181818
"42",2021-04-05,"2021-W14",155,80,0.516129032258065
"43",2021-04-12,"2021-W15",252,164,0.650793650793651
"44",2021-04-19,"2021-W16",86,62,0.720930232558139
"45",2021-04-26,"2021-W17",111,79,0.711711711711712
"46",2021-05-03,"2021-W18",7,4,0.571428571428571
"47",2021-05-10,"2021-W19",1,1,1
